Date,Open,High,Low,Close,Volume,Average
29/12/2013,1.885,1.915,1.87,1.875,16088000,1.8925
05/01/2014,1.895,1.905,1.855,1.865,30615000,1.88
12/01/2014,1.87,1.885,1.845,1.875,23778000,1.865
19/01/2014,1.87,1.905,1.865,1.89,36091000,1.885
26/01/2014,1.875,1.92,1.85,1.87,47564000,1.885
02/02/2014,1.88,1.88,1.815,1.825,47876000,1.8475
09/02/2014,1.825,1.835,1.8,1.815,43922000,1.8175
16/02/2014,1.815,1.895,1.805,1.875,41621000,1.85
23/02/2014,1.86,1.92,1.86,1.9,54760000,1.89
02/03/2014,1.89,1.96,1.88,1.91,63425000,1.92
09/03/2014,1.905,1.91,1.875,1.895,25779000,1.8925
16/03/2014,1.875,1.91,1.865,1.89,46425000,1.8875
23/03/2014,1.89,1.905,1.875,1.895,34247000,1.89
30/03/2014,1.89,1.96,1.89,1.955,47993000,1.925
06/04/2014,1.955,1.99,1.93,1.965,59769000,1.96
13/04/2014,1.955,2.01,1.95,2.01,29746000,1.98
20/04/2014,2.02,2.02,1.96,1.975,41020000,1.99
27/04/2014,1.98,2.01,1.955,2.01,28391000,1.9825
04/05/2014,2.01,2.04,1.995,2.01,43386000,2.0175
11/05/2014,2,2.04,1.995,2.03,38762000,2.0175
18/05/2014,2.02,2.05,2,2.04,32794000,2.025
25/05/2014,2.04,2.09,2.03,2.07,53535000,2.06
01/06/2014,2.07,2.08,1.99,2.01,50427000,2.035
08/06/2014,2.01,2.03,1.97,1.985,32401000,2
15/06/2014,1.98,1.985,1.95,1.96,41581000,1.9675
22/06/2014,1.965,1.99,1.945,1.97,23454000,1.9675
29/06/2014,1.965,1.98,1.93,1.94,49162000,1.955
06/07/2014,1.94,1.96,1.925,1.95,48043000,1.9425
13/07/2014,1.965,1.99,1.955,1.98,42054000,1.9725
20/07/2014,1.98,2.02,1.97,2,48525000,1.995
27/07/2014,2,2.01,1.955,1.97,29919000,1.9825
03/08/2014,1.97,2.01,1.95,1.96,40468000,1.98
10/08/2014,1.955,1.99,1.955,1.97,19323000,1.9725
17/08/2014,1.97,2.02,1.965,2,35401000,1.9925
24/08/2014,2.01,2.02,1.99,2,26838000,2.005
31/08/2014,1.995,2.01,1.98,1.99,29152000,1.995
07/09/2014,2,2.02,1.985,1.995,36515000,2.0025
14/09/2014,1.985,1.985,1.93,1.93,41873000,1.9575
21/09/2014,1.93,1.94,1.895,1.905,32070000,1.9175
28/09/2014,1.905,1.955,1.9,1.925,44703000,1.9275
05/10/2014,1.925,1.94,1.9,1.915,30446000,1.92
12/10/2014,1.905,1.935,1.885,1.915,47733000,1.91
19/10/2014,1.93,1.99,1.925,1.95,43322000,1.9575
26/10/2014,1.965,1.98,1.94,1.97,31149000,1.96
02/11/2014,1.98,1.98,1.94,1.94,28448000,1.96
09/11/2014,1.96,1.99,1.95,1.97,35263000,1.97
16/11/2014,1.97,1.995,1.955,1.97,25120000,1.975
23/11/2014,1.97,2.01,1.965,1.98,36891000,1.9875
30/11/2014,1.985,1.99,1.965,1.975,52041000,1.9775
07/12/2014,1.975,2.02,1.965,2.01,39868000,1.9925
14/12/2014,2,2.05,1.965,2,42544000,2.0075
21/12/2014,2,2.03,2,2.03,13195000,2.015
28/12/2014,2.02,2.05,2.01,2.04,17790000,2.03
04/01/2015,2.05,2.08,2.01,2.06,55735000,2.045
11/01/2015,2.06,2.19,2.06,2.18,78411000,2.125
18/01/2015,2.14,2.26,2.13,2.25,81771100,2.195
25/01/2015,2.24,2.25,2.09,2.09,91638600,2.17
01/02/2015,2.06,2.2,2.05,2.19,65757600,2.125
08/02/2015,2.16,2.2,2.08,2.11,67626800,2.14
15/02/2015,2.1,2.15,2.08,2.15,16506400,2.115
22/02/2015,2.16,2.17,2.1,2.11,61446400,2.135
01/03/2015,2.12,2.18,2.11,2.12,41797400,2.145
08/03/2015,2.1,2.12,2.05,2.12,51840900,2.085
15/03/2015,2.12,2.16,2.07,2.15,56624800,2.115
22/03/2015,2.14,2.2,2.14,2.16,54168900,2.17
29/03/2015,2.16,2.24,2.16,2.22,47042700,2.2
05/04/2015,2.22,2.28,2.21,2.22,38362100,2.245
12/04/2015,2.21,2.28,2.18,2.25,43929400,2.23
19/04/2015,2.24,2.28,2.2,2.27,32180900,2.24
26/04/2015,2.24,2.25,2.15,2.19,35764600,2.2
03/05/2015,2.16,2.2,2.09,2.13,47166800,2.145
10/05/2015,2.14,2.2,2.12,2.19,36053600,2.16
17/05/2015,2.2,2.24,2.17,2.2,32036500,2.205
24/05/2015,2.22,2.24,2.15,2.17,40172700,2.195
31/05/2015,2.17,2.2,2.12,2.12,30138600,2.16
07/06/2015,2.12,2.14,2.07,2.12,39238900,2.105
14/06/2015,2.12,2.16,2.08,2.09,62931382,2.12
21/06/2015,2.1,2.15,2.09,2.15,42829600,2.12
28/06/2015,2.08,2.18,2.08,2.17,34554800,2.13
05/07/2015,2.15,2.2,2.12,2.13,29940500,2.16
12/07/2015,2.15,2.19,2.12,2.15,28026524,2.155
19/07/2015,2.18,2.19,2.12,2.14,53174200,2.155
26/07/2015,2.15,2.15,2,2,59792400,2.075
02/08/2015,2.01,2.09,2.01,2.07,38530100,2.05
09/08/2015,2.07,2.07,1.95,1.975,48598900,2.01
16/08/2015,1.965,1.97,1.895,1.905,47196600,1.9325
23/08/2015,1.89,1.99,1.845,1.96,57519900,1.9175
30/08/2015,1.99,1.99,1.86,1.895,42181100,1.925
06/09/2015,1.895,1.92,1.86,1.89,29662400,1.89
13/09/2015,1.895,1.98,1.85,1.885,42607700,1.915
20/09/2015,1.88,1.945,1.87,1.905,36100500,1.9075
27/09/2015,1.895,1.915,1.865,1.91,31214800,1.89
04/10/2015,1.94,1.99,1.925,1.98,53683900,1.9575
11/10/2015,1.975,2.05,1.975,2.02,43504700,2.0125
18/10/2015,2.03,2.07,2.02,2.05,31510900,2.045
25/10/2015,2.07,2.08,1.97,1.98,34651400,2.025
01/11/2015,1.95,1.995,1.93,1.965,23376400,1.9625
08/11/2015,1.97,1.97,1.865,1.865,25535100,1.9175
15/11/2015,1.86,1.895,1.85,1.88,27518100,1.8725
22/11/2015,1.885,1.905,1.865,1.875,39706800,1.885
29/11/2015,1.88,2.03,1.875,1.92,39066000,1.9525
06/12/2015,1.935,1.945,1.855,1.88,36443200,1.9
13/12/2015,1.88,1.95,1.85,1.95,42290700,1.9
20/12/2015,1.94,1.955,1.905,1.955,14602100,1.93
27/12/2015,1.965,1.965,1.915,1.93,10913200,1.94
03/01/2016,1.935,1.955,1.895,1.92,28658000,1.925
10/01/2016,1.91,1.92,1.875,1.92,37186200,1.8975
