Date,Open,High,Low,Close,Volume,Average
29/12/2013,0.55,0.555,0.545,0.545,60340000,0.55
05/01/2014,0.55,0.56,0.52,0.53,204370000,0.54
12/01/2014,0.535,0.535,0.515,0.53,231372000,0.525
19/01/2014,0.53,0.535,0.515,0.515,124681000,0.525
26/01/2014,0.51,0.52,0.505,0.52,124214000,0.5125
02/02/2014,0.515,0.52,0.505,0.52,136231000,0.5125
09/02/2014,0.52,0.535,0.515,0.52,111694000,0.525
16/02/2014,0.525,0.56,0.525,0.55,196920000,0.5425
23/02/2014,0.555,0.57,0.54,0.555,229639000,0.555
02/03/2014,0.55,0.61,0.55,0.6,376423000,0.58
09/03/2014,0.6,0.615,0.58,0.585,212235000,0.5975
16/03/2014,0.6,0.605,0.565,0.565,158481000,0.585
23/03/2014,0.56,0.59,0.56,0.58,202243000,0.575
30/03/2014,0.575,0.59,0.57,0.59,145196000,0.58
06/04/2014,0.585,0.615,0.57,0.59,271831000,0.5925
13/04/2014,0.59,0.61,0.585,0.61,104509000,0.5975
20/04/2014,0.61,0.615,0.6,0.605,145157000,0.6075
27/04/2014,0.605,0.615,0.595,0.615,137863000,0.605
04/05/2014,0.61,0.615,0.58,0.59,124618000,0.5975
11/05/2014,0.595,0.615,0.585,0.585,150246000,0.6
18/05/2014,0.585,0.585,0.57,0.575,117328000,0.5775
25/05/2014,0.575,0.59,0.57,0.575,95176000,0.58
01/06/2014,0.575,0.58,0.555,0.57,184349000,0.5675
08/06/2014,0.57,0.58,0.57,0.575,81258000,0.575
15/06/2014,0.58,0.58,0.56,0.565,101525000,0.57
22/06/2014,0.56,0.575,0.56,0.565,67276000,0.5675
29/06/2014,0.56,0.565,0.545,0.55,162159000,0.555
06/07/2014,0.555,0.56,0.545,0.55,75154000,0.5525
13/07/2014,0.545,0.56,0.54,0.555,130743000,0.55
20/07/2014,0.555,0.555,0.545,0.545,139581000,0.55
27/07/2014,0.545,0.55,0.525,0.535,127635000,0.5375
03/08/2014,0.535,0.54,0.525,0.53,92770000,0.5325
10/08/2014,0.53,0.54,0.52,0.535,224960000,0.53
17/08/2014,0.525,0.53,0.51,0.51,175414000,0.52
24/08/2014,0.515,0.525,0.505,0.51,145500000,0.515
31/08/2014,0.51,0.525,0.505,0.51,130262000,0.515
07/09/2014,0.51,0.515,0.505,0.505,99891000,0.51
14/09/2014,0.505,0.515,0.5,0.505,110896000,0.5075
21/09/2014,0.51,0.52,0.505,0.51,105147000,0.5125
28/09/2014,0.51,0.515,0.5,0.5,101724000,0.5075
05/10/2014,0.5,0.51,0.495,0.495,81909000,0.5025
12/10/2014,0.495,0.5,0.465,0.48,165991000,0.4825
19/10/2014,0.49,0.49,0.48,0.485,64289000,0.485
26/10/2014,0.49,0.52,0.48,0.52,143299000,0.5
02/11/2014,0.52,0.525,0.495,0.51,85659000,0.51
09/11/2014,0.505,0.51,0.46,0.465,307064000,0.485
16/11/2014,0.465,0.465,0.445,0.45,241309000,0.455
23/11/2014,0.455,0.465,0.445,0.46,238321000,0.455
30/11/2014,0.46,0.465,0.44,0.46,199867000,0.4525
07/12/2014,0.46,0.465,0.445,0.45,213579000,0.455
14/12/2014,0.45,0.455,0.425,0.435,280991011,0.44
