Date,GDP,InterestRate(real),Inflation
29/12/2013,70559.78317,5.617189806,-0.224575002
05/01/2014,72170.31426,5.619065218,-0.254750615
12/01/2014,72170.31426,5.619065218,-0.254750615
19/01/2014,72170.31426,5.619065218,-0.254750615
26/01/2014,72170.31426,5.619065218,-0.254750615
02/02/2014,72170.31426,5.619065218,-0.254750615
09/02/2014,72170.31426,5.619065218,-0.254750615
16/02/2014,72170.31426,5.619065218,-0.254750615
23/02/2014,72170.31426,5.619065218,-0.254750615
02/03/2014,72170.31426,5.619065218,-0.254750615
09/03/2014,72170.31426,5.619065218,-0.254750615
16/03/2014,72170.31426,5.619065218,-0.254750615
23/03/2014,72170.31426,5.619065218,-0.254750615
30/03/2014,72170.31426,5.619065218,-0.254750615
06/04/2014,72170.31426,5.619065218,-0.254750615
13/04/2014,72170.31426,5.619065218,-0.254750615
20/04/2014,72170.31426,5.619065218,-0.254750615
27/04/2014,72170.31426,5.619065218,-0.254750615
04/05/2014,72170.31426,5.619065218,-0.254750615
11/05/2014,72170.31426,5.619065218,-0.254750615
18/05/2014,72170.31426,5.619065218,-0.254750615
25/05/2014,72170.31426,5.619065218,-0.254750615
01/06/2014,72170.31426,5.619065218,-0.254750615
08/06/2014,72170.31426,5.619065218,-0.254750615
15/06/2014,72170.31426,5.619065218,-0.254750615
22/06/2014,72170.31426,5.619065218,-0.254750615
29/06/2014,72170.31426,5.619065218,-0.254750615
06/07/2014,72170.31426,5.619065218,-0.254750615
13/07/2014,72170.31426,5.619065218,-0.254750615
20/07/2014,72170.31426,5.619065218,-0.254750615
27/07/2014,72170.31426,5.619065218,-0.254750615
03/08/2014,72170.31426,5.619065218,-0.254750615
10/08/2014,72170.31426,5.619065218,-0.254750615
17/08/2014,72170.31426,5.619065218,-0.254750615
24/08/2014,72170.31426,5.619065218,-0.254750615
31/08/2014,72170.31426,5.619065218,-0.254750615
07/09/2014,72170.31426,5.619065218,-0.254750615
14/09/2014,72170.31426,5.619065218,-0.254750615
21/09/2014,72170.31426,5.619065218,-0.254750615
28/09/2014,72170.31426,5.619065218,-0.254750615
05/10/2014,72170.31426,5.619065218,-0.254750615
12/10/2014,72170.31426,5.619065218,-0.254750615
19/10/2014,72170.31426,5.619065218,-0.254750615
26/10/2014,72170.31426,5.619065218,-0.254750615
02/11/2014,72170.31426,5.619065218,-0.254750615
09/11/2014,72170.31426,5.619065218,-0.254750615
16/11/2014,72170.31426,5.619065218,-0.254750615
23/11/2014,72170.31426,5.619065218,-0.254750615
30/11/2014,72170.31426,5.619065218,-0.254750615
