Date,Open,High,Low,Close,Adj Close,Volume
29/12/2013,3159.67993,3187.80005,3127.90991,3131.46997,3131.46997,591690600
05/01/2014,3142.61011,3154.36011,3119.69995,3143.87012,3143.87012,835286200
12/01/2014,3150.73999,3155.88989,3115.80005,3147.33008,3147.33008,896956600
19/01/2014,3137.26001,3142.05005,3071.22998,3075.98999,3075.98999,888120000
26/01/2014,3038.98999,3068.05005,3012.26001,3027.21997,3027.21997,912219600
02/02/2014,3011.40991,3019.12012,2953.01001,3013.13989,3013.13989,1163633700
09/02/2014,3021.88989,3051.47998,3003.47998,3038.70996,3038.70996,888331500
16/02/2014,3048.69995,3109.80005,3044.5,3099.92993,3099.92993,1054850400
23/02/2014,3112.42993,3121.29004,3080.96997,3110.78003,3110.78003,1094307500
02/03/2014,3078.29004,3137.79004,3067.23999,3136.26001,3136.26001,1632496300
09/03/2014,3131.87012,3145.23999,3060.51001,3073.71997,3073.71997,1172585800
16/03/2014,3071.87012,3101.86011,3053.59009,3073.38989,3073.38989,1089415600
23/03/2014,3089.46997,3184.37012,3089.37012,3172.16992,3172.16992,1323180700
30/03/2014,3187.61011,3228.81006,3178.3999,3212.71997,3212.71997,1349089000
06/04/2014,3203.05005,3215.94995,3181.78003,3198.21997,3198.21997,1313626500
13/04/2014,3209.41992,3259.07007,3205.95996,3253.80005,3253.80005,1080982000
20/04/2014,3260.78003,3284.69995,3250.09009,3267.57007,3267.57007,1203536800
27/04/2014,3255.3501,3267.83008,3222.77002,3252.55005,3252.55005,986239000
04/05/2014,3260.52002,3263.80005,3226.87988,3252.12988,3252.12988,878279700
11/05/2014,3253.73999,3273.94995,3221.37012,3262.59009,3262.59009,1132006900
18/05/2014,3262,3279.53003,3252.47998,3278.02002,3278.02002,1262100700
25/05/2014,3283.76001,3308.80005,3270.61011,3295.8501,3295.8501,1168530900
01/06/2014,3303.22998,3305.3501,3272.22998,3299.42993,3299.42993,991241900
08/06/2014,3308.62012,3311.43994,3282.31006,3293.25,3293.25,657915000
15/06/2014,3292.59009,3297.62012,3258.80005,3258.80005,3258.80005,755891200
22/06/2014,3262.16992,3279.37012,3254.26001,3271.05005,3271.05005,588517800
29/06/2014,3260.94995,3289.77002,3234.06006,3272.25,3272.25,776854300
06/07/2014,3280.65991,3294.3999,3264.01001,3293.72998,3293.72998,602830200
13/07/2014,3289.67993,3310.53003,3286.28003,3310.53003,3310.53003,709229200
20/07/2014,3313.83008,3357.3501,3309.16992,3350.16992,3350.16992,734451100
27/07/2014,3351.21997,3387.84009,3339.63989,3344.41992,3344.41992,817573900
03/08/2014,3339.8501,3341.12012,3277.96997,3288.88989,3288.88989,1126435300
10/08/2014,3301.8999,3319.69995,3289.05005,3314.77002,3314.77002,906098900
17/08/2014,3310.40991,3337.11011,3298.88989,3325.5,3325.5,1067025600
24/08/2014,3331.90991,3358.52002,3321.32007,3327.09009,3327.09009,977745600
31/08/2014,3326.65991,3349.84009,3309.42993,3341.72998,3341.72998,837739400
07/09/2014,3341.17993,3356.70996,3328.65991,3345.55005,3345.55005,770220300
14/09/2014,3338.33008,3341.76001,3266.25,3305.05005,3305.05005,1210721200
21/09/2014,3307.31006,3312.42993,3271.77002,3292.20996,3292.20996,777285200
28/09/2014,3290.82007,3293.98999,3222.91992,3253.23999,3253.23999,1371836600
05/10/2014,3260.71997,3264.06006,3223.37988,3223.87012,3223.87012,831789300
12/10/2014,3213.88989,3217.97998,3149.90991,3167.72998,3167.72998,1146884000
19/10/2014,3184.65991,3238,3180.21997,3222.55005,3222.55005,604412500
26/10/2014,3231.81006,3274.25,3206.20996,3274.25,3274.25,1169686000
02/11/2014,3286.57007,3302.34009,3273.67993,3286.38989,3286.38989,1024604200
09/11/2014,3306.56006,3317.18994,3277.55005,3315.66992,3315.66992,1260006500
16/11/2014,3310.53003,3347.41992,3285.6001,3345.32007,3345.32007,1344122200
23/11/2014,3349.38989,3360.32007,3330.80005,3350.5,3350.5,1388737200
30/11/2014,3352.32007,3356.53003,3297.73999,3324.38989,3324.38989,1170502100
07/12/2014,3321.41992,3336.83008,3297.84009,3324.12988,3324.12988,1143294100
14/12/2014,3312.47998,3314.30005,3200.62988,3279.53003,3279.53003,1462382800
21/12/2014,3293.71997,3353.57007,3291.48999,3332.51001,3332.51001,0
28/12/2014,3360.63989,3375.12988,3356.62012,3370.59009,3370.59009,0
04/01/2015,3368.37988,3372.34009,3267.88989,3338.43994,3338.43994,644911100
11/01/2015,3332.95996,3349.18994,3291.5,3300.67993,3300.67993,1186251800
18/01/2015,3318.59009,3419.30005,3297.88989,3411.5,3411.5,1231338600
25/01/2015,3409.36011,3432.62012,3391.19995,3391.19995,3391.19995,1351927300
01/02/2015,3398.51001,3441.65991,3394.54004,3431.36011,3431.36011,1223265600
08/02/2015,3425.72998,3448.95996,3409.37988,3426.21997,3426.21997,1173048900
15/02/2015,3417.66992,3443.05005,3406.12988,3435.65991,3435.65991,589263600
22/02/2015,3456.20996,3458.13989,3402.86011,3402.86011,3402.86011,1590168000
01/03/2015,3408.87988,3430.81006,3389.72998,3417.51001,3417.51001,1382796300
08/03/2015,3395.36011,3416.38989,3357.11011,3362.77002,3362.77002,1216327100
15/03/2015,3361.37988,3417.44995,3356.65991,3412.43994,3412.43994,1299094800
22/03/2015,3413.6499,3453.6001,3404.62988,3450.1001,3450.1001,1048890600
29/03/2015,3441.93994,3469.02002,3435.59009,3453.75,3453.75,874067000
05/04/2015,3451.72998,3480.84009,3450.26001,3472.37988,3472.37988,1186732700
12/04/2015,3476.03003,3549.8501,3475.13989,3525.18994,3525.18994,1192043900
19/04/2015,3519.23999,3525.84009,3487.70996,3513,3513,1084527300
26/04/2015,3510.76001,3521.98999,3467.45996,3487.38989,3487.38989,979408800
03/05/2015,3479.01001,3490.73999,3425.31006,3452.01001,3452.01001,1037602200
10/05/2015,3463.88989,3473.48999,3434.69995,3463.1001,3463.1001,990138200
17/05/2015,3465.32007,3467.22998,3434.28003,3450.17993,3450.17993,1297127400
24/05/2015,3458.32007,3467.1001,3381.79004,3392.11011,3392.11011,1185792300
31/05/2015,3375.05005,3375.05005,3326.84009,3333.66992,3333.66992,1225877200
07/06/2015,3326.37012,3358.77002,3294.31006,3353.8501,3353.8501,1339851500
14/06/2015,3338.1001,3346.02002,3291.06006,3300.95996,3300.95996,1090105000
21/06/2015,3313.06006,3361.04004,3311.12012,3320.8999,3320.8999,977530000
28/06/2015,3277.8999,3357.94995,3267.67993,3342.72998,3342.72998,956857700
05/07/2015,3319.92993,3346.47998,3249.88989,3279.87988,3279.87988,1170191800
12/07/2015,3298.28003,3358.09009,3290.11011,3353.44995,3353.44995,504299000
19/07/2015,3370,3383.56006,3346.86011,3352.6499,3352.6499,1205915700
26/07/2015,3348.82007,3348.83008,3184.57007,3202.5,3202.5,1878478100
02/08/2015,3205.59009,3217.12988,3164.62012,3196.65991,3196.65991,1552870900
09/08/2015,3213.48999,3214.5,3057.62012,3114.25,3114.25,1708133200
16/08/2015,3114.56006,3116.36011,2947.87012,2971.01001,2971.01001,1564835400
23/08/2015,2918.23999,2999.08008,2808.31006,2955.93994,2955.93994,2171109400
30/08/2015,2987.17993,2987.17993,2859.32007,2863.81006,2863.81006,1237544700
06/09/2015,2842.28003,2931.6499,2829.19995,2888.03003,2888.03003,916721200
13/09/2015,2887.40991,2919.77002,2837.59009,2879.59009,2879.59009,1741403300
20/09/2015,2855.04004,2904.97998,2816.76001,2832.63989,2832.63989,0
27/09/2015,2823.09009,2829.63989,2740.36011,2793.1499,2793.1499,0
04/10/2015,2826.07007,3011.62988,2822.28003,2998.5,2998.5,0
11/10/2015,2991.59009,3047.1001,2960.86011,3030.61011,3030.61011,0
18/10/2015,3023.53003,3074.95996,3012.6001,3068.45996,3068.45996,0
25/10/2015,3092.31006,3104.71997,2975.73999,2998.3501,2998.3501,0
01/11/2015,2976.71997,3043.8501,2948.41992,3010.46997,3010.46997,0
08/11/2015,3014.80005,3022.26001,2919.1001,2925.67993,2925.67993,0
15/11/2015,2902.90991,2940.86011,2884.03003,2917.90991,2917.90991,0
22/11/2015,2924.1001,2939.40991,2843.94995,2859.12012,2859.12012,0
29/11/2015,2871.05005,2902.80005,2855.93994,2879.05005,2879.05005,0
06/12/2015,2896.87012,2911.43994,2833.92993,2834.62988,2834.62988,0
13/12/2015,2819.78003,2868.87012,2793.38989,2852.84009,2852.84009,0
20/12/2015,2830.91992,2885.30005,2827.75,2877.62012,2877.62012,0
27/12/2015,2883.80005,2897.46997,2868.81006,2882.72998,2882.72998,0
03/01/2016,2889.22998,2890.20996,2697.93994,2751.22998,2751.22998,0
10/01/2016,2725.1001,2726.56006,2626.81006,2630.76001,2630.76001,0
17/01/2016,2593.6001,2638.46997,2529.01001,2577.09009,2577.09009,0
24/01/2016,2601.84009,2629.11011,2539.73999,2629.11011,2629.11011,0
31/01/2016,2637.05005,2644.67993,2528.43994,2623.20996,2623.20996,0
07/02/2016,2559.63989,2582.87012,2531.79004,2539.94995,2539.94995,0
14/02/2016,2565.94995,2668.21997,2561.43994,2656.87012,2656.87012,0
21/02/2016,2653.79004,2684.79004,2588.83008,2649.37988,2649.37988,0
28/02/2016,2666.07007,2837,2638.75,2837,2837,0
06/03/2016,2843.65991,2850.52002,2770.26001,2828.86011,2828.86011,0
13/03/2016,2849.40991,2906.80005,2828.67993,2906.80005,2906.80005,0
20/03/2016,2905.48999,2906.26001,2840.23999,2847.38989,2847.38989,0
27/03/2016,2851.38989,2874.26001,2807.87012,2818.48999,2818.48999,0
03/04/2016,2826.41992,2846.09009,2783.41992,2808.32007,2808.32007,158708700
10/04/2016,2797.36011,2925.86011,2794.1499,2923.93994,2923.93994,0
17/04/2016,2901.3999,2964.1001,2892.73999,2940.42993,2940.42993,0
24/04/2016,2930.61011,2933.26001,2834.51001,2838.52002,2838.52002,0
01/05/2016,2842.86011,2848.8999,2722.6001,2730.80005,2730.80005,0
08/05/2016,2745.36011,2766.06006,2713.46997,2734.90991,2734.90991,0
15/05/2016,2726.31006,2791.17993,2721.69995,2763.82007,2763.82007,0
22/05/2016,2761.79004,2805.62988,2740.82007,2802.51001,2802.51001,0
29/05/2016,2796.1499,2834.04004,2778.6499,2809.22998,2809.22998,0
05/06/2016,2819.07007,2881.91992,2812.5,2822.96997,2822.96997,0
12/06/2016,2786.3501,2793.30005,2744.31006,2763.41992,2763.41992,0
19/06/2016,2785.15991,2815.21997,2715.76001,2735.38989,2735.38989,0
26/06/2016,2722.15991,2880.71997,2703.47998,2846.37012,2846.37012,0
03/07/2016,2855.36011,2874.8999,2830,2847.04004,2847.04004,0
10/07/2016,2882.28003,2939.03003,2868.80005,2925.3501,2925.3501,0
17/07/2016,2930.63989,2958.8999,2902.40991,2945.3501,2945.3501,0
24/07/2016,2951.34009,2955.95996,2865.65991,2868.68994,2868.68994,0
31/07/2016,2875.59009,2898.27002,2810.87988,2828.16992,2828.16992,0
07/08/2016,2850.86011,2893.34009,2849.07007,2867.3999,2867.3999,0
14/08/2016,2857.71997,2880.70996,2830.1001,2844.02002,2844.02002,0
21/08/2016,2843.76001,2879.58008,2831.1499,2857.6499,2857.6499,0
28/08/2016,2844.20996,2853.07007,2795.23999,2803.91992,2803.91992,0
04/09/2016,2828.48999,2911.84009,2827.31006,2873.33008,2873.33008,0
11/09/2016,2829.40991,2847.5,2791.37988,2827.44995,2827.44995,0
18/09/2016,2830.66992,2876.3501,2824.87988,2856.94995,2856.94995,0
25/09/2016,2851.73999,2885.70996,2831.87012,2869.46997,2869.46997,0
02/10/2016,2879.8501,2901.72998,2861.94995,2875.23999,2875.23999,0
09/10/2016,2869.8501,2876.87988,2783.33008,2815.23999,2815.23999,0
16/10/2016,2811.41992,2856.6499,2793.55005,2831.06006,2831.06006,0
23/10/2016,2842.45996,2860.73999,2806.31006,2816.26001,2816.26001,0
30/10/2016,2795.12988,2832.37012,2784.26001,2788.80005,2788.80005,0
06/11/2016,2800.53003,2839.96997,2760.96997,2814.6001,2814.6001,0
13/11/2016,2807.34009,2840.45996,2778.07007,2838.6499,2838.6499,0
20/11/2016,2836.8999,2870.38989,2813.78003,2859.33008,2859.33008,0
27/11/2016,2864.11011,2933.33008,2862.1499,2919.37012,2919.37012,0
04/12/2016,2918.88989,2980.77002,2914.67993,2956.12988,2956.12988,0
11/12/2016,2960.12012,2969.01001,2921.98999,2937.86011,2937.86011,0
18/12/2016,2930.01001,2931.67993,2866.16992,2871.05005,2871.05005,0
25/12/2016,2861.6001,2903.3501,2857.90991,2880.76001,2880.76001,0
01/01/2017,2887,2970.79004,2869.65991,2962.62988,2962.62988,0
08/01/2017,2962.12988,3025.84009,2961.96997,3025.07007,3025.07007,0
15/01/2017,3024.61011,3027.45996,2988.07007,3011.08008,3011.08008,0
22/01/2017,3010.86011,3065.12988,3008.02002,3064.8501,3064.8501,0
29/01/2017,3053.69995,3073.37012,3030.6499,3041.93994,3041.93994,0
05/02/2017,3047.68994,3104.30005,3040.65991,3100.38989,3100.38989,595917000
12/02/2017,3107.63989,3118.30005,3064.59009,3107.6499,3107.6499,1442205900
19/02/2017,3106.81006,3138.96997,3086.57007,3117.03003,3117.03003,1372587600
26/02/2017,3101.17993,3158.26001,3089.90991,3122.34009,3122.34009,1445936100
05/03/2017,3121.95996,3150.84009,3106.97998,3133.3501,3133.3501,1173820600
12/03/2017,3139.04004,3177.8999,3116.34009,3169.37988,3169.37988,1332941400
19/03/2017,3162.20996,3172.73999,3114.33008,3142.8999,3142.8999,982488000
26/03/2017,3122.05005,3188.02002,3112.38989,3175.11011,3175.11011,1134886900
02/04/2017,3180.27002,3189.81006,3144.5,3177.27002,3177.27002,1116790600
09/04/2017,3177.27002,3186.5,3160.28003,3169.23999,3169.23999,910100900
16/04/2017,3159.18994,3162.58008,3113.8999,3139.83008,3139.83008,1028058600
23/04/2017,3156.88989,3183.17993,3129.26001,3175.43994,3175.43994,1237276600
30/04/2017,3183.42993,3239.76001,3183.40991,3229.72998,3229.72998,873787000
07/05/2017,3240.43994,3274.33008,3226.06006,3255.29004,3255.29004,1160378900
14/05/2017,3262.26001,3275.38989,3189.69995,3216.91992,3216.91992,1278260500
21/05/2017,3216.17993,3248.16992,3208.94995,3219.41992,3219.41992,1019736900
28/05/2017,3217.25,3248.12012,3195.82007,3240.01001,3240.01001,1196277100
04/06/2017,3242.3501,3260.01001,3226.63989,3254.18994,3254.18994,916501300
11/06/2017,3256.70996,3270.91992,3224.18994,3231.43994,3231.43994,1110848400
18/06/2017,3239.08008,3254.8999,3196.48999,3209.46997,3209.46997,1060894100
25/06/2017,3216.57007,3262.12012,3203.75,3226.47998,3226.47998,877764400
02/07/2017,3228.90991,3251.20996,3199.97998,3229.01001,3229.01001,1000519000
09/07/2017,3237.41992,3287.42993,3196.13989,3287.42993,3287.42993,1325980500
16/07/2017,3296.45996,3331.12988,3287.45996,3314.12012,3314.12012,1338126600
23/07/2017,3307.17993,3354.70996,3294.65991,3330.75,3330.75,1135427800
30/07/2017,3338.16992,3349.09009,3319.57007,3326.52002,3326.52002,1201560500
06/08/2017,3329.42993,3342.80005,3277.02002,3279.71997,3279.71997,1011013600
13/08/2017,3296.43994,3322.5,3249.37012,3251.98999,3251.98999,1099269300
20/08/2017,3254.87988,3278.54004,3244.22998,3259.57007,3259.57007,924310700
27/08/2017,3255.52002,3288.93994,3244.55005,3277.26001,3277.26001,906176100
