Date,Open,High,Low,Close,Volume,Average
29/12/2013,21.23,21.33,20.84,20.9,6220000,21.085
05/01/2014,20.790001,21.200001,20.690001,21.030001,7413000,20.945001
12/01/2014,21.01,21.1,20.35,20.49,8604000,20.725
19/01/2014,20.35,20.450001,20.120001,20.190001,10816000,20.285001
26/01/2014,19.99,20.440001,19.799999,20,11743000,20.12
02/02/2014,19.82,19.99,19.4,19.879999,12901000,19.695
09/02/2014,19.82,20.02,19.549999,19.9,8596000,19.7849995
16/02/2014,19.93,21.059999,19.93,20.9,10690000,20.4949995
23/02/2014,21,21,20.52,20.629999,10917000,20.76
02/03/2014,20.35,20.879999,20.23,20.52,9392000,20.5549995
09/03/2014,20.540001,20.68,19.83,19.9,12151000,20.255
16/03/2014,19.82,20.65,19.799999,20.6,12940000,20.2249995
23/03/2014,20.690001,21.450001,20.610001,21.35,18871000,21.030001
30/03/2014,21.6,21.870001,21.5,21.700001,16296000,21.6850005
06/04/2014,21.66,21.950001,21.469999,21.9,7865000,21.71
13/04/2014,21.92,22.280001,21.799999,22.07,8269000,22.04
20/04/2014,22.01,22.6,21.889999,22.459999,10611000,22.2449995
27/04/2014,22.549999,22.610001,21.02,21.5,18180000,21.8150005
04/05/2014,21.700001,22.5,21.360001,22.450001,14173000,21.9300005
11/05/2014,22.49,22.799999,22,22.51,16515000,22.3999995
18/05/2014,22.52,22.799999,22.23,22.35,8318000,22.5149995
25/05/2014,22.51,22.780001,22,22.57,12862000,22.3900005
01/06/2014,22.690001,22.74,22.25,22.74,7318000,22.495
08/06/2014,22.799999,22.82,22.379999,22.49,8120000,22.5999995
15/06/2014,22.49,22.68,22.33,22.4,6725000,22.505
22/06/2014,22.549999,22.709999,22.389999,22.59,5949000,22.549999
29/06/2014,22.51,23.450001,22.389999,23.379999,11933000,22.92
06/07/2014,23.48,24.17,23.16,24.030001,14881000,23.665
13/07/2014,24.049999,24.190001,23.370001,23.65,10398000,23.780001
